"week","team","opponent_team"
1,"DET","KC"
1,"JAX","IND"
1,"BAL","HOU"
1,"TB","MIN"
1,"WAS","ARI"
1,"NO","TEN"
1,"CLE","CIN"
1,"SF","PIT"
1,"ATL","CAR"
1,"PHI","NE"
1,"GB","CHI"
1,"LA","SEA"
1,"MIA","LAC"
1,"LV","DEN"
1,"DAL","NYG"
1,"NYJ","BUF"
1,"KC","DET"
1,"IND","JAX"
1,"HOU","BAL"
1,"MIN","TB"
1,"ARI","WAS"
1,"TEN","NO"
1,"CIN","CLE"
1,"PIT","SF"
1,"CAR","ATL"
1,"NE","PHI"
1,"CHI","GB"
1,"SEA","LA"
1,"LAC","MIA"
1,"DEN","LV"
1,"NYG","DAL"
1,"BUF","NYJ"
2,"PHI","MIN"
2,"TEN","LAC"
2,"ATL","GB"
2,"KC","JAX"
2,"SEA","DET"
2,"IND","HOU"
2,"BAL","CIN"
2,"TB","CHI"
2,"BUF","LV"
2,"NYG","ARI"
2,"SF","LA"
2,"WAS","DEN"
2,"DAL","NYJ"
2,"MIA","NE"
2,"NO","CAR"
2,"PIT","CLE"
2,"MIN","PHI"
2,"LAC","TEN"
2,"GB","ATL"
2,"JAX","KC"
2,"DET","SEA"
2,"HOU","IND"
2,"CIN","BAL"
2,"CHI","TB"
2,"LV","BUF"
2,"ARI","NYG"
2,"LA","SF"
2,"DEN","WAS"
2,"NYJ","DAL"
2,"NE","MIA"
2,"CAR","NO"
2,"CLE","PIT"
3,"NYG","SF"
3,"ATL","DET"
3,"BUF","WAS"
3,"IND","BAL"
3,"DEN","MIA"
3,"HOU","JAX"
3,"NO","GB"
3,"NE","NYJ"
3,"TEN","CLE"
3,"LAC","MIN"
3,"CAR","SEA"
3,"CHI","KC"
3,"DAL","ARI"
3,"PIT","LV"
3,"PHI","TB"
3,"LA","CIN"
3,"SF","NYG"
3,"DET","ATL"
3,"WAS","BUF"
3,"BAL","IND"
3,"MIA","DEN"
3,"JAX","HOU"
3,"GB","NO"
3,"NYJ","NE"
3,"CLE","TEN"
3,"MIN","LAC"
3,"SEA","CAR"
3,"KC","CHI"
3,"ARI","DAL"
3,"LV","PIT"
3,"TB","PHI"
3,"CIN","LA"
4,"DET","GB"
4,"ATL","JAX"
