"Week","Winner.tie","X","Loser.tie","PtsW","PtsL","YdsW","TOW","YdsL","TOL"
"1","TB","","DAL",31,29,431,4,451,1
"1","PHI","@","ATL",32,6,434,0,260,0
"1","PIT","@","BUF",23,16,252,0,371,1
"1","CAR","","NYJ",19,14,381,1,252,1
"1","CIN","","MIN",27,24,366,0,403,1
"1","SEA","@","IND",28,16,381,1,336,1
"1","ARI","@","TEN",38,13,416,1,248,3
"1","SF","@","DET",41,33,442,2,430,1
"1","HOU","","JAX",37,21,449,0,395,3
"1","LAC","@","WAS",20,16,424,2,259,1
"1","KC","","CLE",33,29,397,0,457,2
"1","DEN","@","NYG",27,13,420,1,314,1
"1","NO","","GB",38,3,322,0,229,3
"1","MIA","@","NE",17,16,259,1,393,2
"1","LA","","CHI",34,14,386,0,322,2
"1","LV","","BAL",33,27,491,1,406,2
"2","WAS","","NYG",30,29,407,1,391,0
"2","BUF","@","MIA",35,0,314,2,216,3
"2","CAR","","NO",26,7,383,1,128,2
"2","CHI","","CIN",20,17,206,1,248,4
"2","CLE","","HOU",31,21,355,2,302,2
"2","LA","@","IND",27,24,371,2,354,2
"2","DEN","@","JAX",23,13,398,0,189,2
"2","NE","@","NYJ",25,6,260,0,336,4
"2","SF","@","PHI",17,11,306,0,328,0
"2","LV","@","PIT",26,17,425,0,331,1
"2","TB","","ATL",48,25,341,1,348,3
"2","ARI","","MIN",34,33,474,2,419,0
"2","DAL","@","LAC",20,17,419,1,408,2
"2","TEN","@","SEA",33,30,532,1,397,0
"2","BAL","","KC",36,35,481,2,405,2
"2","GB","","DET",35,17,323,0,344,2
"3","CAR","@","HOU",24,9,407,0,193,0
"3","ATL","@","NYG",17,14,296,1,346,1
"3","BUF","","WAS",43,21,481,0,290,3
"3","CLE","","CHI",26,6,418,0,47,0
"3","CIN","@","PIT",24,10,268,1,342,2
"3","TEN","","IND",25,16,368,3,265,0
"3","ARI","@","JAX",31,19,407,1,361,4
"3","BAL","@","DET",19,17,387,1,285,0
"3","LAC","@","KC",30,24,352,0,437,4
"3","NO","@","NE",28,13,252,0,300,3
"3","DEN","","NYJ",26,0,343,1,162,2
"3","LV","","MIA",31,28,497,1,330,0
"3","MIN","","SEA",30,17,453,0,389,0
"3","LA","","TB",34,24,407,0,446,0
"3","GB","@","SF",30,28,353,0,298,2
"3","DAL","","PHI",41,21,380,1,367,2
"4","CIN","","JAX",24,21,420,0,341,0
"4","WAS","@","ATL",34,30,412,0,374,0
"4","BUF","","HOU",40,0,450,1,109,5
"4","DAL","","CAR",36,28,433,0,379,2
"4","CHI","","DET",24,14,373,1,351,2
"4","CLE","@","MIN",14,7,327,0,255,1
"4","IND","@","MIA",27,17,349,1,203,2
"4","KC","@","PHI",42,30,471,1,461,0
"4","NYG","@","NO",27,21,485,1,405,1
"4","NYJ","","TEN",27,24,355,1,430,0
"4","ARI","@","LA",37,20,465,0,401,2
"4","SEA","@","SF",28,21,234,0,457,2
"4","BAL","@","DEN",23,7,406,0,254,1
"4","GB","","PIT",27,17,367,1,282,2
"4","TB","@","NE",19,17,381,0,294,2
"4","LAC","","LV",28,14,380,0,213,1
"5","LA","@","SEA",26,17,476,1,354,2
"5","ATL","","NYJ",27,20,450,2,230,1
"5","PHI","@","CAR",21,18,273,2,267,3
"5","GB","@","CIN",25,22,466,1,367,2
"5","PIT","","DEN",27,19,391,1,374,1
"5","MIN","","DET",19,17,384,2,288,2
"5","NE","@","HOU",25,22,352,2,360,1
"5","TEN","@","JAX",37,19,368,0,454,2
"5","TB","","MIA",45,17,558,0,301,2
"5","NO","@","WAS",33,22,369,2,373,2
"5","CHI","@","LV",20,9,252,0,259,1
"5","LAC","","CLE",47,42,493,1,531,0
"5","ARI","","SF",17,10,304,1,338,1
"5","DAL","","NYG",44,20,515,2,367,2
"5","BUF","@","KC",38,20,436,0,392,4
"5","BAL","","IND",31,25,523,1,513,1
"6","TB","@","PHI",28,22,399,1,213,1
"6","JAX","","MIA",23,20,396,1,431,1
"6","MIN","@","CAR",34,28,571,1,306,3
"6","GB","@","CHI",24,14,323,0,277,1
"6","CIN","@","DET",34,11,398,1,228,1
"6","IND","","HOU",31,3,388,0,353,3
"6","KC","@","WAS",31,13,499,3,276,2
"6","LA","@","NYG",38,11,365,2,261,4
"6","BAL","","LAC",34,6,327,2,208,1
"6","ARI","@","CLE",37,14,352,0,290,3
"6","DAL","@","NE",35,29,567,2,335,2
"6","LV","@","DEN",34,24,426,0,421,4
"6","PIT","","SEA",23,20,345,1,309,1
"6","TEN","","BUF",34,31,362,1,417,1
"7","CLE","","DEN",17,14,376,0,223,1
"7","ATL","@","MIA",30,28,397,2,413,2
"7","NYG","","CAR",25,3,302,0,173,1
"7","CIN","@","BAL",41,17,520,1,393,0
"7","GB","","WAS",24,10,304,1,430,2
"7","TEN","","KC",27,3,369,1,334,3
"7","NE","","NYJ",54,13,551,0,299,3
"7","LA","","DET",28,19,374,0,415,2
"7","LV","","PHI",33,22,442,1,358,2
"7","TB","","CHI",38,3,408,1,311,5
"7","ARI","","HOU",31,5,397,1,160,1
"7","IND","@","SF",30,18,295,2,280,4
"7","NO","@","SEA",13,10,304,1,219,0
"8","GB","@","ARI",24,21,335,0,334,3
"8","CAR","@","ATL",19,13,332,1,213,2
"8","BUF","","MIA",26,11,351,0,262,2
"8","SF","@","CHI",33,22,467,0,324,1
"8","NYJ","","CIN",34,31,511,3,318,1
"8","PIT","@","CLE",15,10,370,0,306,1
"8","TEN","@","IND",34,31,340,2,307,3
"8","PHI","@","DET",44,6,350,0,228,1
"8","LA","@","HOU",38,22,467,0,323,1
"8","SEA","","JAX",31,7,229,0,309,1
"8","NE","@","LAC",27,24,352,1,369,2
"8","NO","","TB",36,27,361,0,421,3
"8","DEN","","WAS",17,10,273,1,342,2
"8","DAL","@","MIN",20,16,419,2,278,0
"8","KC","","NYG",20,17,368,2,300,1
"9","IND","","NYJ",45,30,532,0,486,2
"9","ATL","@","NO",27,25,366,0,376,1
"9","JAX","","BUF",9,6,218,1,301,3
"9","DEN","@","DAL",30,16,407,0,290,2
"9","BAL","","MIN",34,31,500,2,318,0
"9","NE","@","CAR",24,6,273,2,240,3
"9","CLE","@","CIN",41,16,361,0,348,3
"9","MIA","","HOU",17,9,262,5,272,4
"9","NYG","","LV",23,16,247,1,403,3
"9","LAC","@","PHI",27,24,445,0,331,0
"9","ARI","@","SF",31,17,437,0,337,3
