"Team","Gms","TotPts","PtsG","RushYds","RYdsG","PassYds","PYdsG","TotYds","YdsG"
"San Francisco 49ers",2,5,17,72,86,214,107,286,193
"Philadelphia Eagles",2,9,14.5,130,65,267,133.5,397,198.5
"Washington Commanders",2,7,17,238,119,267,133.5,505,252.5
"New York Jets",3,14,14,159,53,616,205,775,258.3
"New Orleans Saints",2,6,16,204,102,320,160,524,262
"Buffalo Bills",2,6,16,227,113.5,302,151,529,264.5
"Denver Broncos",2,3,21.5,244,122,301,150.5,545,272.5
"New England Patriots",2,6.5,16.5,138,69,412,206,550,275
"Baltimore Ravens",2,22,22,264,132,298,149,562,281
"Tampa Bay Buccaneers",2,7,17,108,54,497,248.5,605,302.5
"Kansas City Chiefs",2,4,24.5,218,109,391,195.5,609,304.5
"Dallas Cowboys",2,8,28,236,118,382,191,618,309
"Pittsburgh Steelers",2,5,15,192,96,447,223.5,639,319.5
"Cleveland Browns",2,4,24,242,121,398,199,640,320
"Indianapolis Colts",2,6,26,183,91,466,233,649,324.5
"Cincinnati Bengals",2,7,27,332,166,340,170,672,336
"Green Bay Packers",2,9,19,166,83,513,256.5,679,339.5
"Miami Dolphins",2,5,25.5,219,109,468,234,687,343.5
"Los Angeles Rams",2,0,20,130,65,563,281.5,693,346.5
"Los Angeles Chargers",2,3,23,231,115.5,465,232.5,696,348
"Arizona Cardinals",2,8,28,172,86,537,268.5,709,354.5
"Carolina Panthers",2,7,27,277,138,433,216.5,710,355
"Tennessee Titans",2,5,25,321,160,400,200,721,360.5
"Jacksonville Jaguars",3,2,32.7,414,138,671,223,1085,361.7
"New York Giants",2,5.5,25.5,157,78,574,287,731,365.5
"Seattle Seahawks",2,4,24,104,52,652,326,756,378
"Atlanta Falcons",2,2.5,22.5,333,166,424,212,757,378.5
"Las Vegas Raiders",2,5.5,25.5,384,192,381,190.5,765,382.5
"Chicago Bears",2,2,32.5,212,106,554,277,766,383
"Houston Texans",2,6,26,386,193,413,206.5,799,399.5
"Minnesota Vikings",2,0.5,30.5,194,97,650,325,844,422
"Detroit Lions",2,1.5,31.5,211,105.5,666,333,877,438.5
