"week","team","opponent_team"
"","",""
"","",""
"1","TB","DAL"
"1","PHI","ATL"
"1","PIT","BUF"
"1","CAR","NYJ"
"1","CIN","MIN"
"1","SEA","IND"
"1","ARI","TEN"
"1","SF","DET"
"1","HOU","JAX"
"1","LAC","WAS"
"1","KC","CLE"
"1","DEN","NYG"
"1","NO","GB"
"1","MIA","NE"
"1","LA","CHI"
"1","LV","BAL"
"1","DAL","TB"
"1","ATL","PHI"
"1","BUF","PIT"
"1","NYJ","CAR"
"1","MIN","CIN"
"1","IND","SEA"
"1","TEN","ARI"
"1","DET","SF"
"1","JAX","HOU"
"1","WAS","LAC"
"1","CLE","KC"
"1","NYG","DEN"
"1","GB","NO"
"1","NE","MIA"
"1","CHI","LA"
"1","BAL","LV"
"10","MIA","BAL"
"10","DAL","ATL"
"10","BUF","NYJ"
"10","PIT","DET"
"10","TEN","NO"
"10","WAS","TB"
"10","NE","CLE"
"10","IND","JAX"
"10","MIN","LAC"
"10","CAR","ARI"
"10","PHI","DEN"
"10","GB","SEA"
"10","KC","LV"
"10","SF","LA"
"10","BAL","MIA"
"10","ATL","DAL"
"10","NYJ","BUF"
"10","DET","PIT"
"10","NO","TEN"
"10","TB","WAS"
"10","CLE","NE"
"10","JAX","IND"
"10","LAC","MIN"
"10","ARI","CAR"
"10","DEN","PHI"
"10","SEA","GB"
"10","LV","KC"
"10","LA","SF"
"11","NE","ATL"
"11","IND","BUF"
"11","BAL","CHI"
"11","HOU","TEN"
"11","SF","JAX"
"11","PHI","NO"
"11","WAS","CAR"
"11","CLE","DET"
"11","MIN","GB"
"11","MIA","NYJ"
"11","CIN","LV"
"11","KC","DAL"
"11","ARI","SEA"
"11","LAC","PIT"
"11","TB","NYG"
"11","ATL","NE"
"11","BUF","IND"
"11","CHI","BAL"
"11","TEN","HOU"
"11","JAX","SF"
"11","NO","PHI"
"11","CAR","WAS"
"11","DET","CLE"
"11","GB","MIN"
"11","NYJ","MIA"
"11","LV","CIN"
"11","DAL","KC"
"11","SEA","ARI"
"11","PIT","LAC"
"11","NYG","TB"
"12","CHI","DET"
"12","LV","DAL"
"12","BUF","NO"
"12","ATL","JAX"
"12","CIN","PIT"
"12","NYJ","HOU"
"12","NYG","PHI"
"12","MIA","CAR"
"12","TB","IND"
"12","NE","TEN"
"12","DEN","LAC"
"12","SF","MIN"
"12","GB","LA"
"12","BAL","CLE"
"12","WAS","SEA"
"12","DET","CHI"
"12","DAL","LV"
"12","NO","BUF"
"12","JAX","ATL"
"12","PIT","CIN"
"12","HOU","NYJ"
"12","PHI","NYG"
"12","CAR","MIA"
"12","IND","TB"
"12","TEN","NE"
"12","LAC","DEN"
"12","MIN","SF"
"12","LA","GB"
"12","CLE","BAL"
"12","SEA","WAS"
"13","DAL","NO"
"13","TB","ATL"
"13","ARI","CHI"
"13","LAC","CIN"
"13","DET","MIN"
"13","PHI","NYJ"
"13","IND","HOU"
"13","MIA","NYG"
"13","SEA","SF"
"13","WAS","LV"
"13","LA","JAX"
"13","PIT","BAL"
"13","KC","DEN"
"13","NE","BUF"
"13","NO","DAL"
"13","ATL","TB"
"13","CHI","ARI"
"13","CIN","LAC"
"13","MIN","DET"
