"Week","Winner.tie","X","Loser.tie","PtsW","PtsL","YdsW","TOW","YdsL","TOL"
1,"DET","@","KC",21,20,368,1,316,1
1,"JAX","@","IND",31,21,342,2,280,3
1,"BAL","","HOU",25,9,265,2,268,1
1,"TB","@","MIN",20,17,242,0,369,3
1,"WAS","","ARI",20,16,248,3,210,2
1,"NO","","TEN",16,15,351,2,285,3
1,"CLE","","CIN",24,3,350,2,142,0
1,"SF","@","PIT",30,7,391,1,239,2
1,"ATL","","CAR",24,10,221,0,281,3
1,"PHI","@","NE",25,20,251,1,382,2
1,"GB","@","CHI",38,20,329,0,311,2
1,"LA","@","SEA",30,13,426,0,180,0
1,"MIA","@","LAC",36,34,536,2,433,0
1,"LV","@","DEN",17,16,261,1,260,0
1,"DAL","@","NYG",40,0,265,0,171,3
1,"NYJ","","BUF",22,16,289,1,314,4
2,"PHI","","MIN",34,28,430,1,374,4
2,"TEN","","LAC",27,24,341,0,342,0
2,"ATL","","GB",25,24,446,1,224,0
2,"KC","@","JAX",17,9,399,3,271,1
2,"SEA","@","DET",37,31,393,0,418,3
2,"IND","@","HOU",31,20,353,0,389,1
2,"BAL","@","CIN",27,24,415,0,282,1
2,"TB","","CHI",27,17,437,0,236,2
2,"BUF","","LV",38,10,450,0,240,3
2,"NYG","@","ARI",31,28,439,1,379,0
2,"SF","@","LA",30,23,365,0,386,2
2,"WAS","@","DEN",35,33,388,0,399,2
2,"DAL","","NYJ",30,10,382,0,215,4
2,"MIA","@","NE",24,17,389,1,288,2
2,"NO","@","CAR",20,17,341,1,239,1
2,"PIT","","CLE",26,22,255,2,408,4
3,"NYG","@","SF",NA,NA,NA,NA,NA,NA
3,"ATL","@","DET",NA,NA,NA,NA,NA,NA
3,"BUF","@","WAS",NA,NA,NA,NA,NA,NA
3,"IND","@","BAL",NA,NA,NA,NA,NA,NA
3,"DEN","@","MIA",NA,NA,NA,NA,NA,NA
3,"HOU","@","JAX",NA,NA,NA,NA,NA,NA
3,"NO","@","GB",NA,NA,NA,NA,NA,NA
3,"NE","@","NYJ",NA,NA,NA,NA,NA,NA
3,"TEN","@","CLE",NA,NA,NA,NA,NA,NA
3,"LAC","@","MIN",NA,NA,NA,NA,NA,NA
3,"CAR","@","SEA",NA,NA,NA,NA,NA,NA
3,"CHI","@","KC",NA,NA,NA,NA,NA,NA
3,"DAL","@","ARI",NA,NA,NA,NA,NA,NA
3,"PIT","@","LV",NA,NA,NA,NA,NA,NA
3,"PHI","@","TB",NA,NA,NA,NA,NA,NA
3,"LA","@","CIN",NA,NA,NA,NA,NA,NA
4,"DET","@","GB",NA,NA,NA,NA,NA,NA
4,"ATL","@","JAX",NA,NA,NA,NA,NA,NA
4,"CIN","@","TEN",NA,NA,NA,NA,NA,NA
4,"DEN","@","CHI",NA,NA,NA,NA,NA,NA
4,"MIA","@","BUF",NA,NA,NA,NA,NA,NA
4,"MIN","@","CAR",NA,NA,NA,NA,NA,NA
