"Team","Gms","TotPts","PtsG","RushYds","RYdsG","PassYds","PYdsG","TotYds","YdsG"
"San Francisco 49ers",17,277,16.3,1321,77.7,3789,222.9,5110,300.6
"Philadelphia Eagles",17,344,20.2,2068,121.6,3057,179.8,5125,301.5
"Washington Commanders",17,343,20.2,1926,113.3,3252,191.3,5178,304.6
"New York Jets",17,316,18.6,2068,121.6,3220,189.4,5288,311.1
"New Orleans Saints",17,345,20.3,2218,130.5,3134,184.4,5352,314.8
"Buffalo Bills",16,286,17.9,1673,104.6,3433,214.6,5106,319.1
"Denver Broncos",17,359,21.1,1866,109.8,3574,210.2,5440,320
"New England Patriots",17,347,20.4,1793,105.5,3681,216.5,5474,322
"Baltimore Ravens",17,315,18.5,1566,92.1,3947,232.2,5513,324.3
"Tampa Bay Buccaneers",17,358,21.1,2052,120.7,3461,203.6,5513,324.3
"Kansas City Chiefs",17,369,21.7,1823,107.2,3756,220.9,5579,328.2
"Dallas Cowboys",17,342,20.1,2198,129.3,3415,200.9,5613,330.2
"Pittsburgh Steelers",17,346,20.4,1838,108.1,3779,222.3,5617,330.4
"Cleveland Browns",17,381,22.4,2295,135,3336,196.2,5631,331.2
"Indianapolis Colts",17,427,25.1,2109,124.1,3569,209.9,5678,334
"Cincinnati Bengals",16,322,20.1,1706,106.6,3665,229.1,5371,335.7
"Green Bay Packers",17,371,21.8,2372,139.5,3349,197,5721,336.5
"Miami Dolphins",17,399,23.5,1751,103,3992,234.8,5743,337.8
"Los Angeles Rams",17,384,22.6,1956,115.1,3842,226,5798,341.1
"Los Angeles Chargers",17,384,22.6,2478,145.8,3406,200.4,5884,346.1
"Arizona Cardinals",17,449,26.4,2016,118.6,3915,230.3,5931,348.9
"Carolina Panthers",17,374,22,2085,122.6,3868,227.5,5953,350.2
"Tennessee Titans",17,359,21.1,1307,76.9,4671,274.8,5978,351.6
"Jacksonville Jaguars",17,350,20.6,1951,114.8,4055,238.5,6006,353.3
"New York Giants",17,371,21.8,2455,144.4,3638,214,6093,358.2
"Seattle Seahawks",17,401,23.6,2554,150.2,3595,211.5,6149,361.7
"Atlanta Falcons",17,386,22.7,2214,130.2,3942,231.9,6156,362.1
"Las Vegas Raiders",17,418,24.6,2087,122.8,4129,242.9,6216,365.6
"Chicago Bears",17,463,27.2,2674,157.4,3716,218.6,6390,375.9
"Houston Texans",17,420,24.7,2894,170.2,3558,209.3,6452,379.5
"Minnesota Vikings",17,427,25.1,2093,123.1,4151,244.2,6244,367.8
"Detroit Lions",17,427,25.1,2491,146.5,4179,245.8,6670,392.4
