"week","team","player_name","season","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr","opponent_team"
1,"ARI","DeAndre Hopkins",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,14,16,151,0,0,0,103,67,8,10.0863823046966,0,1.46601941747573,0.432432432432432,0.536458333333333,1.02416948198198,0,15.1,29.1,"SF"
1,"ARI","Christian Kirk",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,5,0,0,0,0,70,3,0,-4.13080654859979,0,0,0.135135135135135,0.364583333333333,0.457911036036036,0,0,1,"SF"
1,"ATL","Russell Gage",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,9,12,114,0,0,0,89,46,7,8.14001532777911,0,1.28089887640449,0.230769230769231,0.182751540041068,0.474079924182594,0,11.4,20.4,"SEA"
1,"ATL","Calvin Ridley",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,-1,0,0,0,0,-0.876156827842351,0,9,12,130,2,0,0,141,21,9,9.58849571674364,0,0.921985815602837,0.230769230769231,0.28952772073922,0.5488232506713,0,24.9,33.9,"SEA"
1,"BAL","Marquise Brown",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,5,6,101,0,0,0,114,12,4,4.73172332282411,0,0.885964912280702,0.24,0.447058823529412,0.672941176470588,0,10.1,15.1,"CLE"
1,"BAL","Devin Duvernay",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,1,12,0,0,0,-1,13,1,1.34640384942759,0,0,0.04,-0.00392156862745098,0.0572549019607843,0,1.2,2.2,"CLE"
1,"BAL","Miles Boykin",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,4,37,0,0,0,25,21,1,0.103906078933505,0,1.48,0.16,0.0980392156862745,0.308627450980392,0,3.7,6.7,"CLE"
1,"BAL","Willie Snead",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,4,64,1,0,0,44,20,4,5.36932761396747,0,1.45454545454545,0.16,0.172549019607843,0.36078431372549,0,12.4,16.4,"CLE"
1,"BUF","Isaiah McKenzie",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,3,17,0,0,0,-14,31,2,1.20797997392947,0,0,0.0666666666666667,-0.0510948905109489,0.0642335766423358,0,1.7,4.7,"NYJ"
1,"BUF","Cole Beasley",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,7,58,0,0,0,48,14,2,2.67849876667606,0,1.20833333333333,0.155555555555556,0.175182481751825,0.355961070559611,0,5.8,9.8,"NYJ"
1,"BUF","Stefon Diggs",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,8,9,86,0,0,0,89,10,6,8.95413011329947,0,0.966292134831461,0.2,0.324817518248175,0.527372262773723,0,8.6,16.6,"NYJ"
1,"CAR","D.J. Moore",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,9,54,0,0,0,100,8,4,0.475198091765558,0,0.54,0.264705882352941,0.3584229390681,0.647954880877082,0,5.4,9.4,"LV"
1,"CAR","Curtis Samuel",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,5,0,0,0,0,-0.0255893040448427,0,5,8,38,0,0,0,70,4,2,-1.28691491260543,0,0.542857142857143,0.235294117647059,0.25089605734767,0.528568416613957,0,4.3,9.3,"LV"
1,"CAR","Robby Anderson",2020,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,6,8,114,1,0,0,82,71,3,6.367673934903,1,1.39024390243902,0.235294117647059,0.293906810035842,0.558675943495678,0,19.4,25.4,"LV"
