"Team","Rush Att","Rush Yds","YPC","Rush TD Allowed","Rush 1st","Rush 1st%"
"TEN",368,1438,3.9,14,90,24.5
"PHI",458,1834,4,18,115,25.1
"BAL",378,1436,3.8,13,81,21.4
"NO",426,1589,3.7,12,84,19.7
"IND",420,1854,4.4,10,101,24
"SF",439,1760,4,17,97,22.1
"ARI",426,1952,4.6,10,109,25.6
"NE",464,2103,4.5,9,111,23.9
"CLE",437,1857,4.2,13,108,24.7
"WAS",430,1775,4.1,14,101,23.5
"CHI",483,2127,4.4,14,116,24
"DAL",429,1918,4.5,13,99,23.1
"BUF",442,1866,4.2,19,108,24.4
"CAR",474,1935,4.1,16,112,23.6
"DEN",441,1892,4.3,9,99,22.4
"MIN",475,2222,4.7,15,131,27.6
"GB",395,1855,4.7,13,120,30.4
"MIA",425,1867,4.4,16,106,24.9
"CIN",407,1742,4.3,15,107,26.3
"KC",419,1999,4.8,15,121,28.9
"DET",518,2296,4.4,19,135,26.1
"LAC",509,2361,4.6,22,144,28.3
"HOU",523,2418,4.6,25,135,25.8
"LAR",443,1754,4,18,111,25.1
"NYG",492,2193,4.5,15,126,25.6
"LV",462,1943,4.2,18,109,23.6
"SEA",509,1932,3.8,16,124,24.4
"PIT",498,2483,5,17,144,28.9
"ATL",519,2242,4.3,19,143,27.6
"JAX",493,2127,4.3,22,124,25.2
"TB",366,1573,4.3,11,94,25.7
"NYJ",525,2351,4.5,28,129,24.6
