"Team","Pass Att","Cmp","Cmp %","Yds/Att","Pass Yds","Pass TD","INT","Rate","1st","1st%","20+ Yd Rec","40+ Yd Rec","Lng Rec","Sck","SckY","Rec","Rec Yards","Yds/Rec","20+","40+","Lng","Rec 1st","Rec 1st%","Rec FUM","Rush Att","Rush Yds","YPC","Rush TD","20+ Yd Rush","40+ Yd Rush","Rush Lng","Rush 1st","Rush 1st%","Rush FUM","3rd Att","3rd Md","4th Att","4th Md","Scrm Plys"
"ARI",591,415,70.2,7.8,4619,27,11,100.6,214,36.2,"62","11","77 ",39,343,415,4619,11.1,62,11,"77",214,51.6,2,496,2076,4.2,23,10,3,"57T",127,25.6,16,221,100,29,17,1126
"ATL",573,377,65.8,7,3987,20,15,86.6,196,34.2,"44","7","64 ",40,274,377,3987,10.6,44,7,"64T",196,52,7,393,1451,3.7,11,2,0,"39T",75,19.1,9,211,82,24,10,1006
"BAL",611,396,64.8,7,4267,21,18,84.4,209,34.2,"54","6","49 ",57,306,396,4267,10.8,54,6,"49T",209,52.8,6,517,2479,4.8,18,15,1,"46",159,30.8,7,225,82,27,18,1185
"BUF",655,415,63.4,6.8,4450,36,16,91.3,236,36,"51","8","61 ",27,166,415,4450,10.7,51,8,"61",236,56.9,8,461,2209,4.8,20,18,2,"46T",134,29.1,8,222,103,22,11,1143
"CAR",599,348,58.1,6,3573,14,21,68.5,174,29,"36","5","64 ",52,334,348,3573,10.3,36,5,"64",174,50,1,455,1842,4,17,8,0,"33T",118,25.9,10,235,84,34,14,1106
"CHI",542,332,61.2,6.7,3635,16,20,75.5,180,33.2,"40","7","64 ",58,428,332,3635,11,40,7,"64",180,54.2,1,475,2018,4.2,14,13,1,"41T",119,25,5,216,75,36,15,1075
"CIN",555,384,69.2,8.7,4806,36,14,106.9,208,37.5,"63","16","82 ",55,403,384,4806,12.5,63,16,"82",208,54.2,5,436,1742,4,16,8,1,"46T",96,22,2,207,82,20,13,1046
"CLE",520,320,61.5,7,3619,21,14,84.6,177,34,"47","9","71 ",49,299,320,3619,11.3,47,8,"71",177,55.3,3,485,2471,5.1,20,18,2,"70",138,28.4,5,212,83,29,12,1054
"DAL",647,444,68.6,7.7,4963,40,11,104.8,248,38.3,"63","9","73 ",33,163,444,4963,11.2,63,8,"73",248,55.9,4,473,2119,4.5,15,11,2,"58",111,23.5,8,228,99,24,14,1153
"DEN",541,354,65.4,7.1,3856,20,9,91.7,179,33.1,"46","7","64 ",40,263,354,3856,10.9,46,7,"64T",179,50.6,2,455,2025,4.4,16,10,3,"70",124,27.2,7,213,82,28,16,1036
"DET",593,396,66.8,6.6,3884,23,14,88.1,193,32.6,"49","5","75 ",36,286,396,3884,9.8,48,5,"75",193,48.7,2,427,1886,4.4,12,12,2,"57",104,24.4,6,213,74,41,21,1056
"GB",593,402,67.8,7.6,4526,39,7,107.4,235,39.6,"61","11","75 ",33,211,402,4526,11.3,61,11,"75",235,58.5,5,446,1900,4.3,13,7,1,"57",109,24.4,5,202,88,22,13,1072
"HOU",546,354,64.8,6.6,3630,21,15,85.2,162,29.7,"44","8","67 ",44,325,354,3630,10.2,44,8,"67",162,45.8,5,420,1422,3.4,8,6,0,"36",77,18.3,5,239,95,21,9,1010
"IND",521,324,62.2,6.9,3588,27,8,93.5,167,32,"42","9","76 ",32,227,324,3588,11.1,42,9,"76",167,51.5,5,499,2540,5.1,22,19,5,"83T",154,30.9,7,210,86,29,18,1052
"JAX",604,361,59.8,6.1,3674,12,17,72.1,178,29.5,"44","5","58 ",32,238,361,3674,10.2,44,5,"58",178,49.3,5,392,1755,4.5,13,7,2,"66T",92,23.5,6,212,76,31,18,1028
"KC",675,448,66.4,7.3,4937,37,13,98.1,267,39.6,"58","11","75 ",28,146,448,4937,11,58,11,"75",267,59.6,4,431,1955,4.5,16,9,1,"51",119,27.6,8,205,107,15,10,1134
"LAC",674,443,65.7,7.4,5014,38,15,97.4,256,38,"53","15","72 ",31,214,443,5014,11.3,53,15,"72",256,57.8,5,423,1834,4.3,18,7,1,"75",112,26.5,3,221,100,34,22,1128
"LAR",607,406,66.9,8.1,4893,41,18,101.6,233,38.4,"65","18","79 ",31,251,406,4893,12,65,18,"79",233,57.4,2,420,1683,4,10,3,0,"39T",99,23.6,3,205,90,19,10,1058
"LV",628,429,68.3,7.7,4808,23,14,93.8,217,34.6,"67","10","61 ",40,241,429,4808,11.2,67,10,"61",217,50.6,5,414,1617,3.9,14,7,0,"31",95,23,9,206,77,19,12,1082
"MIA",615,404,65.7,6.4,3936,21,14,85.4,206,33.5,"45","8","65 ",40,285,404,3936,9.7,45,8,"65",206,51,2,442,1568,3.6,12,5,0,"30T",87,19.7,5,233,95,22,12,1097
"MIN",604,398,65.9,7.4,4450,34,7,101.6,202,33.4,"63","10","64 ",30,212,398,4450,11.2,63,10,"64",202,50.8,3,449,1930,4.3,10,13,2,"66",103,22.9,6,228,83,22,12,1083
"NE",535,364,68,7.7,4098,24,13,95.5,187,35,"60","8","75 ",28,241,364,4098,11.3,60,8,"75",187,51.4,5,489,2151,4.4,24,11,1,"64T",139,28.4,7,209,91,17,11,1052
