"Team","3rd Att","3rd Md","4th Att","4th Md","Rush 1st","Rush 1st%","Scrm Plys","Pass Att","Cmp","Cmp %","Yds/Att","Pass Yds","Pass TD Allowed","INT","1st","1st%","Sck","Rush Att","Rush Yds","YPC","Rush TD Allowed"
"ARI",207,79,30,14,109,25.6,1028,561,367,65.4,6.5,3645,30,13,192,34.2,41,426,1952,4.6,10
"ATL",217,105,22,11,143,27.6,1114,577,391,67.8,6.8,3952,31,12,214,37.1,18,519,2242,4.3,19
"BAL",201,70,18,11,81,21.4,1033,621,397,63.9,7.6,4742,31,9,232,37.4,34,378,1436,3.8,13
"BUF",214,66,35,16,108,24.4,1014,530,297,56,5.2,2771,12,19,138,26,42,442,1866,4.2,19
"CAR",217,82,21,12,112,23.6,1028,515,337,65.4,6.3,3266,26,9,170,33,39,474,1935,4.1,16
"CHI",211,81,24,12,116,24,1009,477,314,65.8,6.8,3257,31,8,170,35.6,49,483,2127,4.4,14
"CIN",221,92,18,7,107,26.3,1075,626,420,67.1,6.7,4222,26,13,213,34,42,407,1742,4.3,15
"CLE",219,86,25,16,108,24.7,1056,576,367,63.7,6,3439,29,13,184,31.9,43,437,1857,4.2,13
"DAL",223,76,26,16,99,23.1,1082,612,364,59.5,6.6,4049,24,26,191,31.2,41,429,1918,4.5,13
"DEN",225,101,26,11,99,22.4,1039,562,341,60.7,6.5,3652,22,13,192,34.2,36,441,1892,4.3,9
"DET",204,92,14,9,135,26.1,1092,544,359,66,7.6,4160,31,11,211,38.8,30,518,2296,4.4,19
"GB",203,87,33,15,120,30.4,1037,603,379,62.8,6.2,3724,31,18,194,32.2,39,395,1855,4.7,13
"HOU",206,89,19,11,135,25.8,1101,546,363,66.5,7.5,4117,27,17,218,39.9,32,523,2418,4.6,25
"IND",210,85,21,12,101,24,1050,597,390,65.3,6.7,3980,32,19,213,35.7,33,420,1854,4.4,10
"JAX",221,95,21,14,124,25.2,1068,543,377,69.4,7.1,3875,24,7,198,36.5,32,493,2127,4.3,22
"KC",199,80,31,19,121,28.9,1060,610,401,65.7,7,4273,27,15,209,34.3,31,419,1999,4.8,15
"LAC",216,107,22,7,144,28.3,1103,559,357,63.9,6.7,3761,27,11,199,35.6,35,509,2361,4.6,22
"LAR",223,92,32,17,111,25.1,1118,625,416,66.6,6.6,4109,17,19,214,34.2,50,443,1754,4,18
"LV",230,91,29,21,109,23.6,1103,606,400,66,6.2,3789,29,6,202,33.3,35,462,1943,4.2,18
"MIA",231,95,18,11,106,24.9,1081,608,373,61.4,6.4,3871,23,14,199,32.7,48,425,1867,4.4,16
"MIN",214,78,30,15,131,27.6,1152,626,401,64.1,6.9,4300,29,16,224,35.8,51,475,2222,4.7,15
"NE",211,77,32,17,111,23.9,1038,538,319,59.3,5.9,3181,21,23,176,32.7,36,464,2103,4.5,9
"NO",240,89,21,9,84,19.7,1064,592,369,62.3,6.4,3821,20,18,185,31.2,46,426,1589,3.7,12
"NYG",226,90,23,15,126,25.6,1137,611,402,65.8,6.3,3839,27,15,216,35.4,34,492,2193,4.5,15
"NYJ",223,99,21,13,129,24.6,1145,587,401,68.3,7.5,4409,28,7,234,39.9,33,525,2351,4.5,28
"PHI",217,93,29,14,115,25.1,1065,589,409,69.4,6.4,3756,28,12,208,35.3,29,458,1834,4,18
"PIT",232,86,24,13,144,28.9,1116,563,355,63.1,6.5,3656,24,13,186,33,55,498,2483,5,17
"SEA",224,88,31,13,124,24.4,1201,658,443,67.3,6.9,4513,24,11,240,36.5,34,509,1932,3.8,16
"SF",220,88,25,11,97,22.1,1043,545,372,68.3,6.4,3510,25,9,180,33,48,439,1760,4,17
"TB",226,87,28,13,94,25.7,1093,680,445,65.4,6,4062,26,17,214,31.5,47,366,1573,4.3,11
"TEN",210,77,24,14,90,24.5,1039,628,395,62.9,6.6,4169,24,16,204,32.5,43,368,1438,3.9,14
"WAS",229,111,20,12,101,23.5,1065,597,400,67,7.3,4333,34,11,220,36.8,38,430,1775,4.1,14
