"player_id","player_name","position","recent_team","season","week","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr","opponent_team"
"00-0022921","Larry Fitzgerald","WR","ARI",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,5,34,0,0,0,15,23,2,1.35856427741237,0,2.26666666666667,0.135135135135135,0.078125,0.257390202702703,0,3.4,7.4,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,7,7,50,0,0,0,25,25,4,5.97573084529722,0,2,0.205882352941176,0.0783699059561129,0.363682463581044,0,5,12,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,3,0,0,0,0,21,0,0,-7.6863329714397,0,0,0.0909090909090909,0.0668789808917197,0.18317892298784,0,0,1,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,3,4,0,0,0,27,2,0,-1.5021463597659,0,0.148148148148148,0.0967741935483871,0.126760563380282,0.233893684688778,0,0.4,2.4,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,7,35,0,0,0,48,19,2,-0.331032052868977,0,0.729166666666667,0.2,0.151419558359621,0.405993690851735,0,3.5,7.5,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,4,22,0,0,0,27,3,2,2.09777024188725,0,0.814814814814815,0.181818181818182,0.117391304347826,0.354901185770751,0,2.2,5.2,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,8,8,62,0,0,0,37,25,2,1.84431384969503,0,1.67567567567568,0.181818181818182,0.0956072351421189,0.339652337326756,0,6.2,14.2,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,9,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,5,54,0,0,0,55,8,4,3.57045156956185,0,0.981818181818182,0.192307692307692,0.22,0.442461538461538,0,5.4,9.4,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,10,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,5,13,0,0,0,31,12,1,-7.22141350384971,0,0.419354838709677,0.15625,0.134199134199134,0.328314393939394,0,1.3,3.3,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,11,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,8,10,62,0,0,0,43,49,3,1.50287114823004,0,1.44186046511628,0.256410256410256,0.16044776119403,0.496928817451205,0,6.2,14.2,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,14,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,3,10,0,0,0,8,5,1,-2.00384563149419,0,1.25,0.09375,0.0446927374301676,0.171909916201117,0,1,3,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,15,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,4,35,1,0,0,55,2,3,2.58219275617739,0,0.636363636363636,0.108108108108108,0.151098901098901,0.267931392931393,0,9.5,12.5,NA
"00-0022921","Larry Fitzgerald","WR","ARI",2020,16,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,6,8,28,0,0,0,40,12,1,-1.95847508596489,0,0.7,0.173913043478261,0.097799511002445,0.329329222919103,0,2.8,8.8,NA
"00-0025396","Ted Ginn","WR","CHI",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,17,0,0,-3.24573566648178,0,0,0.0277777777777778,0.0487106017191977,0.0757640878701051,0,0,0,NA
